
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      5,352 K
Registry                       124 Services                   0     53,884 K
smss.exe                       552 Services                   0        428 K
csrss.exe                      752 Services                   0      2,408 K
wininit.exe                    960 Services                   0        936 K
csrss.exe                      980 Console                    1      4,352 K
services.exe                   488 Services                   0      8,512 K
lsass.exe                      680 Services                   0     14,780 K
svchost.exe                   1060 Services                   0     21,732 K
fontdrvhost.exe               1080 Services                   0          8 K
svchost.exe                   1160 Services                   0     13,620 K
svchost.exe                   1208 Services                   0      3,920 K
winlogon.exe                  1264 Console                    1      2,612 K
fontdrvhost.exe               1320 Console                    1      9,468 K
WUDFHost.exe                  1328 Services                   0        912 K
dwm.exe                       1452 Console                    1     76,044 K
WUDFHost.exe                  1464 Services                   0      6,720 K
svchost.exe                   1564 Services                   0      1,844 K
svchost.exe                   1584 Services                   0      6,608 K
svchost.exe                   1612 Services                   0      5,428 K
svchost.exe                   1640 Services                   0      6,992 K
svchost.exe                   1680 Services                   0      8,020 K
svchost.exe                   1772 Services                   0      1,892 K
svchost.exe                   1792 Services                   0      4,000 K
svchost.exe                   1880 Services                   0      8,304 K
svchost.exe                   1908 Services                   0      4,868 K
svchost.exe                   1920 Services                   0      4,000 K
svchost.exe                   2008 Services                   0      5,668 K
svchost.exe                   2052 Services                   0      3,916 K
svchost.exe                   2124 Services                   0      2,160 K
svchost.exe                   2136 Services                   0      2,696 K
svchost.exe                   2160 Services                   0      2,456 K
svchost.exe                   2180 Services                   0      7,400 K
svchost.exe                   2260 Services                   0     11,412 K
svchost.exe                   2276 Services                   0        888 K
svchost.exe                   2472 Services                   0      2,456 K
svchost.exe                   2652 Services                   0      7,340 K
svchost.exe                   2688 Services                   0      6,276 K
svchost.exe                   2732 Services                   0      3,388 K
svchost.exe                   2760 Services                   0      6,580 K
NVDisplay.Container.exe       2880 Services                   0     10,296 K
svchost.exe                   2936 Services                   0     16,120 K
dasHost.exe                   2944 Services                   0     12,056 K
BullGuardCore.exe             2216 Services                   0     17,720 K
svchost.exe                   2348 Services                   0      5,680 K
svchost.exe                   2848 Services                   0      5,380 K
svchost.exe                   3124 Services                   0      3,248 K
svchost.exe                   3140 Services                   0      6,344 K
svchost.exe                   3180 Services                   0      1,288 K
Memory Compression            3296 Services                   0    987,636 K
svchost.exe                   3436 Services                   0      3,948 K
igfxCUIService.exe            3480 Services                   0      1,912 K
svchost.exe                   3548 Services                   0      6,340 K
svchost.exe                   3556 Services                   0      8,168 K
svchost.exe                   3592 Services                   0      3,860 K
NVDisplay.Container.exe       3780 Console                    1     21,160 K
svchost.exe                   3988 Services                   0     14,840 K
svchost.exe                   4088 Services                   0      4,088 K
svchost.exe                   3848 Services                   0      4,716 K
WmiPrvSE.exe                  3924 Services                   0      7,316 K
svchost.exe                   3904 Services                   0     10,788 K
audiodg.exe                   4300 Services                   0     30,500 K
vpnagent.exe                  4436 Services                   0      6,460 K
svchost.exe                   4444 Services                   0      2,500 K
svchost.exe                   4476 Services                   0      7,036 K
AsLdrSrv64.exe                4624 Services                   0      1,036 K
svchost.exe                   4632 Services                   0      3,780 K
spoolsv.exe                   4748 Services                   0     18,008 K
wlanext.exe                   4860 Services                   0      2,144 K
svchost.exe                   4872 Services                   0     54,456 K
conhost.exe                   4892 Services                   0        536 K
AsMonStartupTask64.exe        4948 Console                    1      2,396 K
svchost.exe                   5012 Services                   0     20,536 K
svchost.exe                   4620 Services                   0      2,520 K
dasHost.exe                   4852 Services                   0        648 K
sihost.exe                    5196 Console                    1     22,808 K
svchost.exe                   5228 Console                    1     20,336 K
svchost.exe                   5236 Console                    1      3,024 K
Intel_PIE_Service.exe         5252 Services                   0      1,948 K
svchost.exe                   5324 Console                    1     34,748 K
svchost.exe                   5452 Services                   0     15,796 K
taskhostw.exe                 5508 Console                    1     16,764 K
NVIDIA RTX Voice.exe          5552 Console                    1      4,364 K
NVIDIA Web Helper.exe         6012 Console                    1     10,984 K
conhost.exe                   6064 Console                    1      1,080 K
